time,y
1433195032.700,0.534
1433195032.800,0.528
1433195032.900,0.521
1433195033.000,0.515
1433195033.100,0.509
1433195033.200,0.503
1433195033.300,0.497
1433195033.400,0.491
1433195033.500,0.485
1433195033.600,0.480
1433195033.700,0.474
1433195033.800,0.468
1433195033.900,0.462
1433195034.000,0.457
1433195034.100,0.454
1433195034.200,0.452
1433195034.300,0.450
1433195034.400,0.448
1433195034.500,0.445
1433195034.600,0.443
1433195034.700,0.441
1433195034.800,0.438
1433195034.900,0.436
1433195035.000,0.434
1433195035.100,0.433
1433195035.200,0.433
1433195035.300,0.433
1433195035.400,0.432
1433195035.500,0.432
1433195035.600,0.431
1433195035.700,0.431
1433195035.800,0.430
1433195035.900,0.430
1433195036.000,0.430
1433195036.100,0.428
1433195036.200,0.427
1433195036.300,0.426
1433195036.400,0.425
1433195036.500,0.424
1433195036.600,0.423
1433195036.700,0.422
1433195036.800,0.421
1433195036.900,0.420
1433195037.000,0.418
1433195037.100,0.416
1433195037.200,0.414
1433195037.300,0.411
1433195037.400,0.409
1433195037.500,0.406
1433195037.600,0.404
1433195037.700,0.402
1433195037.800,0.399
1433195037.900,0.397
1433195038.000,0.395
1433195038.100,0.392
1433195038.200,0.389
1433195038.300,0.386
1433195038.400,0.383
1433195038.500,0.379
1433195038.600,0.376
1433195038.700,0.373
1433195038.800,0.371
1433195038.900,0.368
1433195039.000,0.365
1433195039.100,0.360
1433195039.200,0.356
1433195039.300,0.352
1433195039.400,0.348
1433195039.500,0.344
1433195039.600,0.340
1433195039.700,0.336
1433195039.800,0.332
1433195039.900,0.328
1433195040.000,0.324
1433195040.100,0.325
1433195040.200,0.327
1433195040.300,0.328
1433195040.400,0.330
1433195040.500,0.331
1433195040.600,0.333
1433195040.700,0.334
1433195040.800,0.336
1433195040.900,0.337
1433195041.000,0.339
1433195041.100,0.341
1433195041.200,0.344
1433195041.300,0.347
1433195041.400,0.349
1433195041.500,0.352
1433195041.600,0.355
1433195041.700,0.357
1433195041.800,0.360
1433195041.900,0.363
1433195042.000,0.365
1433195042.100,0.369
1433195042.200,0.373
1433195042.300,0.377
1433195042.400,0.381
1433195042.500,0.385
1433195042.600,0.389
1433195042.700,0.393
1433195042.800,0.397
1433195042.900,0.401
1433195043.000,0.405
1433195043.100,0.404
1433195043.200,0.403
1433195043.300,0.402
1433195043.400,0.401
1433195043.500,0.400
1433195043.600,0.399
1433195043.700,0.398
1433195043.800,0.397
1433195043.900,0.396
1433195044.000,0.395
1433195044.100,0.387
1433195044.200,0.380
1433195044.300,0.373
1433195044.400,0.365
1433195044.500,0.358
1433195044.600,0.351
1433195044.700,0.344
1433195044.800,0.337
1433195044.900,0.330
1433195045.000,0.324
1433195045.100,0.308
1433195045.200,0.294
1433195045.300,0.279
1433195045.400,0.265
1433195045.500,0.252
1433195045.600,0.239
1433195045.700,0.226
1433195045.800,0.214
1433195045.900,0.202
1433195046.000,0.191
1433195046.100,0.180
1433195046.200,0.170
1433195046.300,0.160
1433195046.400,0.150
1433195046.500,0.141
1433195046.600,0.132
1433195046.700,0.123
1433195046.800,0.115
1433195046.900,0.108
1433195047.000,0.101
1433195047.100,0.096
1433195047.200,0.092
1433195047.300,0.088
1433195047.400,0.084
1433195047.500,0.081
1433195047.600,0.077
1433195047.700,0.074
1433195047.800,0.070
1433195047.900,0.067
1433195048.000,0.064
1433195048.100,0.059
1433195048.200,0.054
1433195048.300,0.050
1433195048.400,0.046
1433195048.500,0.042
1433195048.600,0.039
1433195048.700,0.036
1433195048.800,0.033
1433195048.900,0.030
1433195049.000,0.027
1433195049.100,0.026
1433195049.200,0.024
1433195049.300,0.023
1433195049.400,0.021
1433195049.500,0.020
1433195049.600,0.019
1433195049.700,0.018
1433195049.800,0.017
1433195049.900,0.016
1433195050.000,0.015
1433195050.100,0.014
1433195050.200,0.013
1433195050.300,0.012
1433195050.400,0.011
1433195050.500,0.011
1433195050.600,0.010
1433195050.700,0.009
1433195050.800,0.009
1433195050.900,0.008
1433195051.000,0.008
